Period	Day	Date	Plot	Band	Color Combo	Age	Sex	Seen	Location	Observer	Notes
3	4	4-Mar-17	MII	2530-12065	"R/R,A"	ASY	F	0		LFD	
3	5	5-Mar-17	MII	2530-12065	"R/R,A"	ASY	F	1	E-9.5	KCO	
4	1	15-Mar-17	MII	2530-12065	"R/R,A"	ASY	F	0		JPS	
4	2	16-Mar-17	MII	2530-12065	"R/R,A"	ASY	F	1	E.5-10	AJS	
4	3	17-Mar-17	MII	2530-12065	"R/R,A"	ASY	F	0		JPS	
4	4	18-Mar-17	MII	2530-12065	"R/R,A"	ASY	F	1	E.5-10	AJS	
4	5	19-Mar-17	MII	2530-12065	"R/R,A"	ASY	F	1	E-9.3	AJS	
5	1	1-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	0		JPS	
5	2	2-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	1	E.5-9.5	AJS	
5	3	3-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	1	E.5-9.5	AJS	
5	4	4-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	0		JPS	
5	5	5-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	0		LFD	
6	1	15-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	0*	E.5-9.2	LFD	
6	2	16-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	0		LFD	
6	3	17-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	1	caught in net	LFD	
6	4	18-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	0		AJS	
6	5	19-Apr-17	MII	2530-12065	"R/R,A"	ASY	F	0		LFD	
1	1	1-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
1	2	2-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
1	3	3-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
1	4	4-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
1	5	5-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
2	1	15-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
2	2	16-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
2	3	17-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
2	4	18-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
2	5	19-Feb-17	MM	2550-39486	"O,W/A"	SY	F				
3	1	1-Mar-17	MM	2550-39486	"O,W/A"	SY	F				
3	2	2-Mar-17	MM	2550-39486	"O,W/A"	SY	F				
3	3	3-Mar-17	MM	2550-39486	"O,W/A"	SY	F				
3	4	4-Mar-17	MM	2550-39486	"O,W/A"	SY	F				
3	5	5-Mar-17	MM	2550-39486	"O,W/A"	SY	F				
4	1	15-Mar-17	MM	2550-39486	"O,W/A"	SY	F	0		JPS	
4	2	16-Mar-17	MM	2550-39486	"O,W/A"	SY	F	0		AJS	
4	3	17-Mar-17	MM	2550-39486	"O,W/A"	SY	F	0		KCO	
4	4	18-Mar-17	MM	2550-39486	"O,W/A"	SY	F	0		JPS	
4	5	19-Mar-17	MM	2550-39486	"O,W/A"	SY	F	0		AJS	
5	1	1-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		JPS	
5	2	2-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		AJS	
5	3	3-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		AJS	
5	4	4-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		JPS	
5	5	5-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		JPS	
6	1	15-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		LFD	
6	2	16-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		AJS	
6	3	17-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		AJS	
6	4	18-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		JPS	
6	5	19-Apr-17	MM	2550-39486	"O,W/A"	SY	F	0		LFD	
1	1	1-Feb-17	LII	2550-39490	"R/B,A"	SY	M				
1	2	2-Feb-17	LII	2550-39490	"R/B,A"	SY	M				
1	3	3-Feb-17	LII	2550-39490	"R/B,A"	SY	M				
1	4	4-Feb-17	LII	2550-39490	"R/B,A"	SY	M				
1	5	5-Feb-17	LII	2550-39490	"R/B,A"	SY	M				
2	1	15-Feb-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	potentially check L 9
2	2	16-Feb-17	LII	2550-39490	"R/B,A"	SY	M	1	J.25-8.75	AJS	
2	3	17-Feb-17	LII	2550-39490	"R/B,A"	SY	M	0		LFD	
2	4	18-Feb-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
2	5	19-Feb-17	LII	2550-39490	"R/B,A"	SY	M	0		KCO	
3	1	1-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
3	2	2-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		KCO	
3	3	3-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
3	4	4-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
3	5	5-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		JPS	
4	1	15-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		JPS	
4	2	16-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		LFD	
4	3	17-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		KCO	
4	4	18-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
4	5	19-Mar-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
5	1	1-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		JPS	
5	2	2-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
5	3	3-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
5	4	4-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		BCD	
5	5	5-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0			
6	1	15-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
6	2	16-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
6	3	17-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
6	4	18-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
6	5	19-Apr-17	LII	2550-39490	"R/B,A"	SY	M	0		AJS	
1	1	1-Feb-17	LII	2550-39494	"A/W,R"	SY	M				
1	2	2-Feb-17	LII	2550-39494	"A/W,R"	SY	M				
1	3	3-Feb-17	LII	2550-39494	"A/W,R"	SY	M				
1	4	4-Feb-17	LII	2550-39494	"A/W,R"	SY	M				
1	5	5-Feb-17	LII	2550-39494	"A/W,R"	SY	M				
2	1	15-Feb-17	MII	2550-39494	"A/W,R"	SY	M	0		LFD	
2	2	16-Feb-17	MII	2550-39494	"A/W,R"	SY	M	0		AJS	
2	3	17-Feb-17	MII	2550-39494	"A/W,R"	SY	M	1		AJS	
2	4	18-Feb-17	MII	2550-39494	"A/W,R"	SY	M	0		AJS	
